"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-09-02_Mobile-PM_Gill-RS232_T-RH.CR3","59845","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-09-18 15:51:37",22259,"GPRMC","135145.7","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",6,1,-0.05,0.01,0.03,26.72,23.89,23.89,23.89,46.54,46.54,46.54,-120.5645,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:51:38",22260,"GPRMC","135145.9","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","70","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",2,38,-0.05,0.01,0.02,26.74,23.91,23.91,23.91,46.52,46.52,46.52,-82.57836,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:09",22261,"GPRMC","135416.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",5,0,-0.05,-0.03,0,26.74,23.98,23.98,23.98,47.26,47.26,47.26,-133.7737,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:10",22262,"GPRMC","135417.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,-0.03,-0.04,0.01,26.74,24.01,24.01,24.01,47.26,47.26,47.26,-47.8941,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:11",22263,"GPRMC","135418.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","77","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",3,0,-0.03,-0.05,0.01,26.75,23.99,23.99,23.99,47.24,47.24,47.24,-128.8186,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:12",22264,"GPRMC","135419.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","76","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",5,0,-0.02,-0.04,0.01,26.75,24,24,24,47.24,47.24,47.24,-87.53059,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:13",22265,"GPRMC","135420.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7C","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",1,10,-0.03,0,-0.01,26.77,24.02,24.02,24.02,47.25,47.25,47.25,-130.4701,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:14",22266,"GPRMC","135421.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7D","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,-0.04,0,-0.01,26.76,24,24,24,47.22,47.22,47.22,-123.864,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:15",22267,"GPRMC","135422.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.06,-0.04,0.01,26.75,24.02,24.02,24.02,47.26,47.26,47.26,-31.37889,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:16",22268,"GPRMC","135423.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7F","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,-0.07,-0.03,0.02,26.71,24.03,24.03,24.03,47.26,47.26,47.26,-133.7732,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:17",22269,"GPRMC","135424.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,-0.07,-0.02,0,26.66,24.02,24.02,24.02,47.26,47.26,47.26,-69.36387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:18",22270,"GPRMC","135425.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",5,0,-0.08,-0.01,0.01,26.67,24.04,24.04,24.04,47.23,47.23,47.23,-94.13667,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:19",22271,"GPRMC","135426.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7A","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.09,-0.01,0.02,26.67,24.04,24.04,24.04,47.23,47.23,47.23,-118.9095,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-09-18 15:54:20",22272,"GPRMC","135427.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7B","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,-0.08,-0.01,0.03,26.67,24.04,24.04,24.04,47.24,47.24,47.24,-37.98497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:21",22273,"GPRMC","135428.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","74","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.06,-0.01,0.04,26.69,24.01,24.01,24.01,47.19,47.19,47.19,-128.8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:22",22274,"GPRMC","135429.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","75","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.06,0,0.03,26.68,24.01,24.01,24.01,47.17,47.17,47.17,-67.71234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:23",22275,"GPRMC","135430.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7D","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",3,0,-0.07,0,0.02,26.68,24,24,24,47.15,47.15,47.15,-77.62147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:24",22276,"GPRMC","135431.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7C","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.06,-0.04,0.01,26.68,24.03,24.03,24.03,47.13,47.13,47.13,-110.6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:25",22277,"GPRMC","135432.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7F","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,-0.04,0,0.03,26.64,24.01,24.01,24.01,47.11,47.11,47.11,-44.59106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:26",22278,"GPRMC","135433.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",3,0,-0.02,0.03,0.04,26.64,24.02,24.02,24.02,47.07,47.07,47.07,-133.7732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:27",22279,"GPRMC","135434.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.7,N*2E","PTNTHPR","NaN","N","NaN","P",3.7,"N","2E",5,0,-0.07,-0.02,0.04,26.61,24.01,24.01,24.01,47.04,47.04,47.04,-59.45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:28",22280,"GPRMC","135435.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.84,0.17,0.17,27.07,23.98,23.98,23.98,47.02,47.02,47.02,-107.3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:29",22281,"GPRMC","135436.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7B","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",3,0,-0.6,0.41,0.27,26.7,24.03,24.03,24.03,47.04,47.04,47.04,-115.6064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:30",22282,"GPRMC","135437.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7A","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.12,0.27,-0.08,26.78,24.02,24.02,24.02,46.99,46.99,46.99,-59.45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:31",22283,"GPRMC","135438.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","75","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.04,-0.09,-0.01,26.63,24.03,24.03,24.03,46.94,46.94,46.94,-142.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:32",22284,"GPRMC","135439.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","74","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,-0.11,-0.12,-0.05,26.68,24.02,24.02,24.02,46.88,46.88,46.88,-56.1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:33",22285,"GPRMC","135440.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7A","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,0.02,-0.11,0.01,26.67,24.02,24.02,24.02,46.73,46.73,46.73,-112.3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:34",22286,"GPRMC","135441.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7B","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,0.02,-0.08,-0.01,26.64,24.04,24.04,24.04,46.73,46.73,46.73,-117.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:35",22287,"GPRMC","135442.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,0,-0.07,0.02,26.71,24.03,24.03,24.03,46.63,46.63,46.63,-77.62147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:36",22288,"GPRMC","135443.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.04,0.02,0.01,26.87,24.02,24.02,24.02,46.53,46.53,46.53,-140.3793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:37",22289,"GPRMC","135444.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.02,0.03,-0.02,26.91,23.99,23.99,23.99,46.48,46.48,46.48,-84.22755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:38",22290,"GPRMC","135445.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7F","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",3,0,-0.03,0.01,-0.01,26.93,24.03,24.03,24.03,46.42,46.42,46.42,-94.13667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:39",22291,"GPRMC","135446.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7C","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",5,0,-0.03,0.01,-0.01,26.96,24.03,24.03,24.03,46.37,46.37,46.37,-132.1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:40",22292,"GPRMC","135447.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7D","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,-0.02,0,0,26.93,24.03,24.03,24.03,46.28,46.28,46.28,-71.01539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:41",22293,"GPRMC","135448.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","72","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,0.01,-0.01,0.01,26.92,24.02,24.02,24.02,46.23,46.23,46.23,-125.5156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:42",22294,"GPRMC","135449.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","73","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,0.02,0,0,26.9,24.02,24.02,24.02,46.18,46.18,46.18,-29.72737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:43",22295,"GPRMC","135450.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7B","PTNTHPR,,N,,P,3.1,N*28","PTNTHPR","NaN","N","NaN","P",3.1,"N","28",1,10,-2.55,0.3,0.47,27.4,24.04,24.04,24.04,46.18,46.18,46.18,-118.9095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:44",22296,"GPRMC","135451.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7A","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,0.05,0.01,-0.06,26.95,24.04,24.04,24.04,46.13,46.13,46.13,-75.96995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:45",22297,"GPRMC","135452.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",5,0,0.02,0.04,0.01,26.92,24.03,24.03,24.03,46.13,46.13,46.13,-82.57603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:46",22298,"GPRMC","135453.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,0.02,0.04,0.01,26.92,24.04,24.04,24.04,46.11,46.11,46.11,-130.4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:47",22299,"GPRMC","135454.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7F","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,0,0.03,0.02,26.88,24.04,24.04,24.04,46.1,46.1,46.1,-26.42433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:48",22300,"GPRMC","135455.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.01,0.01,0.01,26.88,24.03,24.03,24.03,46.07,46.07,46.07,-122.2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:49",22301,"GPRMC","135456.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7D","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.01,0.02,0.01,26.88,24.01,24.01,24.01,46.02,46.02,46.02,-67.71234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:50",22302,"GPRMC","135457.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7C","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,-0.03,0.01,0.01,26.95,24.02,24.02,24.02,46.02,46.02,46.02,-80.92451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:51",22303,"GPRMC","135458.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","73","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.03,0.05,-0.01,26.92,24.03,24.03,24.03,46.02,46.02,46.02,-127.1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:52",22304,"GPRMC","135459.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","72","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,0.02,0.1,0.04,26.85,24.06,24.06,24.06,46.03,46.03,46.03,-46.24258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:53",22305,"GPRMC","135500.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7F","PTNTHPR,,N,,P,3.2,N*2B","PTNTHPR","NaN","N","NaN","P",3.2,"N","2B",3,0,0.08,0.07,0.04,26.85,24.04,24.04,24.04,46.03,46.03,46.03,-137.0762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:54",22306,"GPRMC","135501.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,0.05,-0.01,0.05,26.72,24.03,24.03,24.03,46,46,46,-67.71234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:55",22307,"GPRMC","135502.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7D","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,0,-0.07,-0.03,26.76,24.04,24.04,24.04,45.94,45.94,45.94,-112.3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:56",22308,"GPRMC","135503.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7C","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,0,-0.02,-0.02,26.79,24.03,24.03,24.03,45.91,45.91,45.91,-123.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:57",22309,"GPRMC","135504.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7B","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",5,0,-0.01,0.01,-0.01,26.82,24.05,24.05,24.05,45.92,45.92,45.92,-59.45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:58",22310,"GPRMC","135505.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7A","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,0,0.02,0.02,26.85,24.02,24.02,24.02,45.89,45.89,45.89,-142.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:54:59",22311,"GPRMC","135506.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,0.01,0.02,0.01,26.87,24.04,24.04,24.04,45.91,45.91,45.91,-57.80322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:00",22312,"GPRMC","135507.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",5,0,0,0.02,-0.02,26.85,24.04,24.04,24.04,45.95,45.95,45.95,-109.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:01",22313,"GPRMC","135508.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","77","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,0,0.03,0,26.84,24.06,24.06,24.06,46,46,46,-120.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:02",22314,"GPRMC","135509.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","76","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,-0.01,0.02,0.02,26.82,24.06,24.06,24.06,46.03,46.03,46.03,-132.1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:03",22315,"GPRMC","135510.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7E","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.01,0.04,0.01,26.82,24.06,24.06,24.06,46,46,46,-175.0612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:04",22316,"GPRMC","135511.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7F","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,0,0.03,0.02,26.78,24.06,24.06,24.06,45.97,45.97,45.97,-29.72737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:05",22317,"GPRMC","135512.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7C","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,-0.01,0.02,0.02,26.76,24.02,24.02,24.02,45.94,45.94,45.94,-120.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:06",22318,"GPRMC","135513.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7D","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.04,0.02,0.01,26.76,24.07,24.07,24.07,45.95,45.95,45.95,-100.7428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:07",22319,"GPRMC","135514.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7A","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",1,10,-0.02,-0.01,0.02,26.73,24.04,24.04,24.04,45.96,45.96,45.96,-64.4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:08",22320,"GPRMC","135515.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","7B","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",3,0,-0.02,-0.01,0.02,26.73,24.04,24.04,24.04,46.01,46.01,46.01,-128.8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:09",22321,"GPRMC","135516.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","78","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",5,0,-0.01,0.02,0.02,26.74,24.04,24.04,24.04,46.05,46.05,46.05,-36.33345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:10",22322,"GPRMC","135517.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","79","PTNTHPR,,N,,P,3.4,N*2D","PTNTHPR","NaN","N","NaN","P",3.4,"N","2D",1,10,-0.03,0.01,-0.01,26.74,24.05,24.05,24.05,46.08,46.08,46.08,-118.9095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-18 15:55:11",22323,"GPRMC","135518.3","V","5046.60335","N","00602.84064","E","","","180919","001.6","E","76","PTNTHPR,,N,,P,3.3,N*2A","PTNTHPR","NaN","N","NaN","P",3.3,"N","2A",3,0,-0.04,0,-0.01,26.76,24.06,24.06,24.06,46.17,46.17,46.17,-75.96995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
